rep t logL AIC nb_colonies AUC BOYCE_index BOYCE_pvalue
7 22 181.205123662766 372.410247325532 48.356 0.748657796451914 0.740939814285491 1.94196211346789e-21
7 23 176.207713066125 362.41542613225 61.167 0.75218837535014 0.486326826766967 3.38248523509902e-09
7 24 174.772652877315 359.54530575463 76.096 0.756594304388422 0.844874938104594 2.55283722969484e-42
7 25 176.676334600696 363.352669201392 92.4 0.757761437908497 0.725964643946691 2.80569884741995e-29
8 1 409.038669359734 828.077338719467 0.015 0.495098039215686 NA NA
8 2 407.673332666873 825.346665333746 0.038 0.511204481792717 -0.866025403784439 0.333333333333333
8 3 407.273862568745 824.547725137489 0.045 0.508082399626517 -0.5 1
8 4 405.221372689351 820.442745378702 0.075 0.524918300653595 -1 0.333333333333333
8 5 403.597321545259 817.194643090519 0.128 0.53390522875817 -0.5 1
8 6 401.866499873584 813.732999747169 0.192 0.540966386554622 -0.872081599272381 0.053854217727542
8 7 395.715814107039 801.431628214079 0.347 0.558473389355742 -0.926561645826376 0.0026974760978697
8 8 388.553244206934 787.106488413868 0.526 0.588410364145658 -0.860313814918638 0.00140240031152294
8 9 380.533070900147 771.066141800293 0.792 0.607405462184874 -0.748479211615881 0.0080503107949131
8 10 371.026990109685 752.053980219371 1.133 0.606967787114846 -0.688858094621436 0.0132286641980361
8 11 361.482995807753 732.965991615506 1.57 0.637079831932773 -0.708916752396543 0.000988383099316004
8 12 353.056711921798 716.113423843597 2.098 0.626984126984127 -0.652992797786741 0.00179943153461881
8 13 335.907434284093 681.814868568187 2.915 0.671860410830999 -0.456425376688467 0.0285829579163862
8 14 310.311768348081 630.623536696162 4.268 0.730567226890756 -0.259395159376321 0.191356691148911
8 15 287.587343765909 585.174687531818 6.439 0.742938842203548 0.535498299024408 0.00158657167621816
8 16 269.17745575101 548.35491150202 8.781 0.735498366013072 0.410453461193274 0.0104797307596745
8 17 249.88412554883 509.768251097661 11.69 0.74250116713352 0.548127808667782 9.71130857422449e-05
8 18 234.603400356852 479.206800713703 15.585 0.738270308123249 0.381622572167199 0.00624630858774641
8 19 216.569599155021 443.139198310043 20.926 0.745506535947713 0.0704733595809967 0.57091873776038
8 20 202.981724747006 415.963449494013 27.435 0.743580765639589 0.503012076825583 6.69488298829567e-06
8 21 190.926469268672 391.852938537345 35.192 0.749620681605976 0.419671698939893 3.830240612408e-05
8 22 181.700989741734 373.401979483468 45.453 0.755339635854342 0.617167752706798 4.91995122294753e-12
8 23 176.537201200819 363.074402401639 57.939 0.759395424836601 0.608030783485672 1.10770595712255e-13
8 24 174.595835939908 359.191671879815 71.903 0.760008169934641 0.900908557038195 1.34179964150319e-48
8 25 174.202675336306 358.405350672613 86.705 0.763071895424837 0.745254430625102 1.96841710054135e-29
9 1 409.026697252195 828.053394504391 0.003 0.498366013071895 NA NA
