REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
64 160.556 409.024 33.4711 409.024 160.556 0.8156513 0.038 1.1115279 0.9107143 0.3627451 0.156 0.8453039 0.051 0.4875 0.052 0.3595423 0.1022099 0.1104972 0.038 0.5479692
65 160.375 409.024 33.4711 409.024 160.375 0.8107201 0.048 1.1166471 0.8571429 0.2843137 0.278 0.8453039 0.048 0.5026178 0.048 0.3634075 0.218232 0.0441989 0.048 0.5728291
66 162.212 409.024 33.4711 409.024 162.212 0.80260854 0.029 1.09909544 0.94642857 0.44117647 0.103 0.84530387 0.039 0.46464646 0.039 0.31198451 0.23756906 0.05524862 0.035 0.51552288
67 159.504 409.024 33.4711 409.024 159.504 0.81185808 0.029 1.1007606 0.94642857 0.4379085 0.229 0.84530387 0.051 0.48717949 0.051 0.36031101 0.12154696 0.09944751 0.042 0.5288282
68 162.446 409.024 33.4711 409.024 162.446 0.8114204 0.023 1.09914119 0.98214286 0.50653595 0.086 0.8480663 0.041 0.4787234 0.048 0.33527033 0.09668508 0.12154696 0.032 0.52509337
69 159.821 409.024 33.4711 409.024 159.821 0.81060341 0.033 1.105799 0.94642857 0.42810458 0.118 0.8480663 0.048 0.4893617 0.048 0.3476498 0.20994475 0.05524862 0.048 0.54038282
70 159.947 409.024 33.4711 409.024 159.947 0.8110703 0.031 1.1141956 0.9821429 0.4738562 0.26 0.8453039 0.049 0.4699454 0.054 0.3314067 0.1298343 0.1049724 0.039 0.5137722
71 160.479 409.024 33.4711 409.024 160.479 0.81118697 0.026 1.09382531 0.96428571 0.48366013 0.116 0.84530387 0.049 0.48128342 0.049 0.3377466 0.20718232 0.06077348 0.049 0.52252568
72 161.555 409.024 33.4711 409.024 161.555 0.81343371 0.041 1.09876963 0.83928571 0.29084967 0.207 0.84530387 0.041 0.48958333 0.041 0.3463296 0.22099448 0.04972376 0.041 0.54843604
73 159.601 409.024 33.4711 409.024 159.601 0.8133754 0.029 1.1065734 0.9821429 0.4901961 0.121 0.8453039 0.048 0.4864865 0.05 0.3479672 0.179558 0.0718232 0.047 0.5338469
74 160.664 409.024 33.4711 409.024 160.664 0.80908613 0.031 1.10163272 0.96428571 0.46732026 0.234 0.84530387 0.045 0.47179487 0.045 0.32234379 0.22928177 0.05524862 0.041 0.5253268
75 162.182 409.024 33.4711 409.024 162.182 0.7932423 0.031 1.0953717 0.9642857 0.4803922 0.113 0.8453039 0.045 0.4607843 0.062 0.3074659 0.0718232 0.1436464 0.045 0.5092204
76 159.857 409.024 33.4711 409.024 159.857 0.8165266 0.047 1.0924678 0.8392857 0.3006536 0.117 0.8480663 0.056 0.4900662 0.056 0.3668166 0.1077348 0.1049724 0.047 0.5386321
77 161.37 409.024 33.4711 409.024 161.37 0.8124125 0.029 1.1080125 0.9642857 0.4542484 0.11 0.8453039 0.039 0.4705882 0.042 0.3213193 0.198895 0.0718232 0.039 0.5303455
78 161.606 409.024 33.4711 409.024 161.606 0.80879435 0.035 1.10272287 0.92857143 0.40522876 0.236 0.84530387 0.046 0.48958333 0.046 0.3463296 0.22099448 0.04972376 0.046 0.54843604
79 160.978 409.024 33.4711 409.024 160.978 0.80535131 0.025 1.09333491 0.98214286 0.51960784 0.11 0.84530387 0.049 0.47398844 0.049 0.33480069 0.16850829 0.08287293 0.042 0.50116713
80 160.225 409.024 33.4711 409.024 160.225 0.80756886 0.032 1.09227187 0.92857143 0.4248366 0.159 0.8480663 0.049 0.47191011 0.05 0.33086876 0.17127072 0.08287293 0.042 0.53034547
81 161.249 409.024 33.4711 409.024 161.249 0.8110119 0.03 1.10919335 0.94642857 0.42156863 0.092 0.84530387 0.041 0.4742268 0.045 0.33727537 0.14640884 0.09392265 0.03 0.52485994
82 159.787 409.024 33.4711 409.024 159.787 0.81019491 0.031 1.10804153 0.92857143 0.39542484 0.177 0.8480663 0.045 0.46632124 0.052 0.33074505 0.09944751 0.12154696 0.031 0.53314659
83 160.99 409.024 33.4711 409.024 160.99 0.814134 0.034 1.1016327 0.9642857 0.4673203 0.101 0.8453039 0.063 0.4942529 0.063 0.3599614 0.1712707 0.0718232 0.063 0.5227591
84 159.951 409.024 33.4711 409.024 159.951 0.8131711 0.045 1.11152552 0.83928571 0.27124183 0.103 0.84530387 0.045 0.50537634 0.045 0.36890775 0.20441989 0.04972376 0.045 0.56804388
85 161.367 409.024 33.4711 409.024 161.367 0.81072012 0.028 1.10801254 0.96428571 0.45424837 0.148 0.84530387 0.042 0.48453608 0.042 0.33907836 0.22651934 0.04972376 0.042 0.54190009
86 160.102 409.024 33.4711 409.024 160.102 0.81168301 0.034 1.10962582 0.96428571 0.45098039 0.124 0.84530387 0.057 0.49717514 0.057 0.36229761 0.17955801 0.06629834 0.057 0.5340803
87 162.432 409.024 33.4711 409.024 162.432 0.80012838 0.03 1.09909544 0.94642857 0.44117647 0.167 0.84530387 0.041 0.46153846 0.046 0.3125025 0.17403315 0.08839779 0.035 0.51704015
88 159.408 409.024 33.4711 409.024 159.408 0.81156629 0.034 1.105799 0.94642857 0.42810458 0.175 0.8480663 0.054 0.47337278 0.061 0.33816001 0.07458564 0.13259669 0.04 0.52030812
89 161.545 409.024 33.4711 409.024 161.545 0.80529295 0.04 1.09598896 0.85714286 0.31699346 0.151 0.84530387 0.041 0.47959184 0.045 0.33480069 0.16850829 0.08287293 0.04 0.54014939
90 160.875 409.024 33.4711 409.024 160.875 0.81153711 0.035 1.10408557 0.91071429 0.37581699 0.161 0.84530387 0.045 0.47668394 0.048 0.33144206 0.20165746 0.06629834 0.035 0.53489729
91 160.441 409.024 33.4711 409.024 160.441 0.80009921 0.035 1.09674851 0.91071429 0.38888889 0.238 0.84530387 0.046 0.48421053 0.046 0.34025143 0.21546961 0.05524862 0.045 0.53863212
92 162.206 409.024 33.4711 409.024 162.206 0.79901961 0.034 1.09493095 0.91071429 0.39215686 0.157 0.8480663 0.041 0.46305419 0.041 0.30802147 0.25138122 0.04972376 0.034 0.51855742
93 160.328 409.024 33.4711 409.024 160.328 0.80987395 0.026 1.11112416 0.98214286 0.48039216 0.106 0.8480663 0.048 0.5 0.048 0.36632718 0.17679558 0.06629834 0.043 0.53863212
94 159.839 409.024 33.4711 409.024 159.839 0.80975724 0.03 1.10163272 0.96428571 0.46732026 0.101 0.84530387 0.052 0.48554913 0.052 0.34942046 0.16850829 0.07734807 0.043 0.53034547
95 161.259 409.024 33.4711 409.024 161.259 0.8038632 0.028 1.1080125 0.9642857 0.4542484 0.165 0.8480663 0.043 0.4699454 0.043 0.3250163 0.1961326 0.0718232 0.038 0.5140056
96 163.234 409.024 33.4711 409.024 163.234 0.79823179 0.022 1.08906284 0.98214286 0.52941176 0.169 0.84530387 0.036 0.46766169 0.039 0.31540651 0.23480663 0.05524862 0.035 0.52054155
97 162.125 409.024 33.4711 409.024 162.125 0.8040383 0.032 1.0931201 0.9107143 0.3954248 0.182 0.8453039 0.039 0.4723618 0.042 0.3250163 0.1961326 0.0718232 0.039 0.5255602
98 159.661 409.024 33.4711 409.024 159.661 0.81156629 0.031 1.10411241 0.94642857 0.43137255 0.19 0.8480663 0.047 0.48618785 0.047 0.3465704 0.19060773 0.06629834 0.043 0.52731092
99 163.262 409.024 33.4711 409.024 163.262 0.80085784 0.023 1.08771577 0.96428571 0.49673203 0.216 0.84530387 0.036 0.47368421 0.036 0.32678718 0.21546961 0.06077348 0.036 0.51272176
100 162.434 409.024 33.4711 409.024 162.434 0.8080065 0.035 1.0967485 0.9107143 0.3888889 0.091 0.8480663 0.048 0.4774194 0.048 0.3487184 0.1187845 0.1049724 0.035 0.5218254
