REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
60 172.579 409.024 33.4711 409.024 172.579 0.75621499 0.05 1.05176688 0.82142857 0.34313725 0.122 0.84530387 0.055 0.45502646 0.058 0.30872056 0.17679558 0.08839779 0.05 0.47829132
61 176.265 409.024 33.4711 409.024 176.265 0.7482493 0.039 1.03957426 0.85714286 0.41176471 0.131 0.8480663 0.047 0.44210526 0.047 0.28639441 0.21546961 0.07734807 0.045 0.45238095
62 175.819 409.024 33.4711 409.024 175.819 0.75671102 0.059 1.04411277 0.80357143 0.33333333 0.147 0.84530387 0.061 0.44670051 0.066 0.29802887 0.17403315 0.09392265 0.059 0.4702381
63 177.712 409.024 33.4711 409.024 177.712 0.7494456 0.054 1.0368025 0.7857143 0.3235294 0.144 0.8480663 0.059 0.4530387 0.062 0.3068053 0.1464088 0.1049724 0.054 0.4621849
64 173.137 409.024 33.4711 409.024 173.137 0.76563959 0.054 1.0606068 0.78571429 0.2875817 0.147 0.8480663 0.057 0.47457627 0.059 0.3343881 0.13812155 0.09944751 0.054 0.49813259
65 175.179 409.024 33.4711 409.024 175.179 0.76385971 0.05 1.06418996 0.85714286 0.36928105 0.146 0.84530387 0.058 0.47513812 0.059 0.33480069 0.16850829 0.08287293 0.057 0.50140056
66 174.862 409.024 33.4711 409.024 174.862 0.75685691 0.051 1.04967206 0.76785714 0.28431373 0.141 0.8480663 0.054 0.46783626 0.055 0.32909916 0.1519337 0.09392265 0.051 0.48354342
67 174.996 409.024 33.4711 409.024 174.996 0.75837418 0.041 1.05997987 0.82142857 0.33006536 0.127 0.8480663 0.046 0.48 0.046 0.34144976 0.17403315 0.07734807 0.046 0.49836601
68 175.128 409.024 33.4711 409.024 175.128 0.7494456 0.041 1.033047 0.8928571 0.4803922 0.151 0.8480663 0.059 0.4363636 0.059 0.2915702 0.1464088 0.1104972 0.052 0.4440943
69 174.458 409.024 33.4711 409.024 174.458 0.755398 0.056 1.0562276 0.7857143 0.2941176 0.133 0.8480663 0.057 0.4673913 0.057 0.3213193 0.198895 0.0718232 0.056 0.4915966
70 173.274 409.024 33.4711 409.024 173.274 0.759162 0.052 1.06313321 0.80357143 0.30392157 0.141 0.8480663 0.054 0.46808511 0.054 0.32046854 0.20994475 0.06629834 0.052 0.49964986
71 174.525 409.024 33.4711 409.024 174.525 0.75487278 0.056 1.03963393 0.82142857 0.3627451 0.18 0.84530387 0.065 0.46428571 0.065 0.32507458 0.15469613 0.09392265 0.062 0.46568627
72 175.764 409.024 33.4711 409.024 175.764 0.7488912 0.054 1.037634 0.8214286 0.3660131 0.153 0.8453039 0.059 0.4516129 0.065 0.3028552 0.1491713 0.1049724 0.059 0.4624183
