REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
62 154.879 409.024 33.4711 409.024 154.879 0.8024627 0.047 1.0918647 0.7857143 0.2418301 0.167 0.859116 0.048 0.5058824 0.048 0.3765275 0.160221 0.0718232 0.047 0.5438842
63 152.935 409.024 33.4711 409.024 152.935 0.8074813 0.066 1.0549652 0.6071429 0.1372549 0.178 0.8563536 0.066 0.5151515 0.07 0.4114919 0.0359116 0.1325967 0.066 0.469888
64 156.212 409.024 33.4711 409.024 156.212 0.789419935 0.045 1.037637028 0.732142857 0.264705882 0.163 0.859116022 0.061 0.472222222 0.096 0.356863674 0.005524862 0.160220994 0.045 0.467436975
65 152.997 409.024 33.4711 409.024 152.997 0.80739379 0.05 1.06578544 0.73214286 0.2254902 0.181 0.86464088 0.057 0.50340136 0.057 0.38575612 0.09668508 0.10497238 0.05 0.50665266
66 153.226 409.024 33.4711 409.024 153.226 0.81445495 0.049 1.07834174 0.78571429 0.26143791 0.187 0.86187845 0.059 0.51006711 0.059 0.39281283 0.10220994 0.09944751 0.049 0.52427638
67 154.075 409.024 33.4711 409.024 154.075 0.80424253 0.042 1.0606068 0.78571429 0.2875817 0.186 0.85635359 0.07 0.49230769 0.07 0.38378211 0.04972376 0.13259669 0.042 0.49813259
68 151.902 409.024 33.4711 409.024 151.902 0.81390056 0.069 1.05229434 0.60714286 0.14052288 0.17 0.85635359 0.069 0.5112782 0.078 0.40708456 0.01933702 0.14364641 0.051 0.48401027
69 153.815 409.024 33.4711 409.024 153.815 0.80783147 0.05 1.05868232 0.73214286 0.23529412 0.182 0.85911602 0.068 0.51162791 0.074 0.40933319 0.02762431 0.13812155 0.05 0.49684874
70 153.481 409.024 33.4711 409.024 153.481 0.81235411 0.048 1.09186473 0.78571429 0.24183007 0.189 0.85635359 0.054 0.51572327 0.078 0.39537813 0.02486188 0.14364641 0.048 0.54388422
71 150.951 409.024 33.4711 409.024 150.951 0.81322946 0.058 1.06115924 0.69642857 0.19934641 0.143 0.85635359 0.062 0.51034483 0.062 0.39555995 0.09116022 0.10497238 0.058 0.49708217
72 153.25 409.024 33.4711 409.024 153.25 0.80972806 0.068 1.06285799 0.64285714 0.15359477 0.134 0.85635359 0.068 0.51798561 0.068 0.40875628 0.07458564 0.11049724 0.051 0.50011671
73 152.191 409.024 33.4711 409.024 152.191 0.81678922 0.035 1.06418996 0.85714286 0.36928105 0.187 0.86187845 0.066 0.5 0.08 0.38964429 0.02762431 0.14364641 0.043 0.49334734
74 152.543 409.024 33.4711 409.024 152.543 0.81299603 0.017 1.07177586 1.0 0.61437908 0.192 0.85635359 0.061 0.51388889 0.061 0.40054883 0.08839779 0.10497238 0.058 0.50210084
75 153.735 409.024 33.4711 409.024 153.735 0.8065476 0.013 1.0572337 1.0 0.6568627 0.175 0.859116 0.071 0.496 0.071 0.3921966 0.0359116 0.1381215 0.05 0.4659197
76 151.427 409.024 33.4711 409.024 151.427 0.82034897 0.029 1.06509252 0.91071429 0.44771242 0.165 0.85359116 0.057 0.51006711 0.079 0.40933319 0.02762431 0.13812155 0.057 0.49883287
77 153.361 409.024 33.4711 409.024 153.361 0.80803571 0.061 1.05836538 0.66071429 0.17320261 0.163 0.85911602 0.061 0.50684932 0.061 0.39062938 0.09392265 0.10497238 0.061 0.48751167
78 152.425 409.024 33.4711 409.024 152.425 0.80972806 0.041 1.06742401 0.80357143 0.29738562 0.184 0.86187845 0.075 0.5 0.075 0.39783215 0.03314917 0.13812155 0.041 0.50618581
79 154.617 409.024 33.4711 409.024 154.617 0.7963352 0.058 1.0456504 0.66071429 0.18954248 0.177 0.86187845 0.08 0.49152542 0.08 0.3928212 0.01657459 0.14917127 0.058 0.4711718
80 151.914 409.024 33.4711 409.024 151.914 0.81495098 0.038 1.07248018 0.82142857 0.31045752 0.178 0.85911602 0.055 0.51351351 0.065 0.40463539 0.05801105 0.12154696 0.038 0.51097106
81 153.789 409.024 33.4711 409.024 153.789 0.805643091 0.049 1.053970974 0.732142857 0.241830065 0.162 0.856353591 0.066 0.489208633 0.094 0.384463934 0.008287293 0.149171271 0.049 0.490312792
82 152.902 409.024 33.4711 409.024 152.902 0.806810224 0.043 1.065008052 0.785714286 0.281045752 0.179 0.859116022 0.077 0.487804878 0.089 0.39015476 0.008287293 0.154696133 0.043 0.504668534
83 153.123 409.024 33.4711 409.024 153.123 0.8135796 0.063 1.05229434 0.60714286 0.14052288 0.137 0.85911602 0.063 0.5112782 0.063 0.40463539 0.05801105 0.12154696 0.043 0.48202614
84 151.592 409.024 33.4711 409.024 151.592 0.8164099 0.055 1.07105645 0.69642857 0.18627451 0.142 0.85635359 0.056 0.5170068 0.079 0.41306049 0.01657459 0.14364641 0.055 0.51015406
85 151.486 409.024 33.4711 409.024 151.486 0.81349206 0.024 1.05931343 0.92857143 0.49019608 0.153 0.85911602 0.071 0.50793651 0.071 0.40580324 0.03867403 0.13259669 0.042 0.49661531
86 152.796 409.024 33.4711 409.024 152.796 0.80990313 0.046 1.0618162 0.75 0.24836601 0.196 0.85911602 0.058 0.50340136 0.058 0.38575612 0.09668508 0.10497238 0.046 0.50163399
87 156.195 409.024 33.4711 409.024 156.195 0.79992414 0.043 1.05190294 0.76785714 0.28104575 0.157 0.85635359 0.078 0.48780488 0.078 0.3839879 0.03038674 0.14364641 0.043 0.48681139
88 153.401 409.024 33.4711 409.024 153.401 0.8092612 0.051 1.05841228 0.71428571 0.21895425 0.169 0.85911602 0.065 0.50704225 0.069 0.39398331 0.06353591 0.12154696 0.051 0.49533147
89 154.083 409.024 33.4711 409.024 154.083 0.81159547 0.058 1.07354137 0.69642857 0.18300654 0.188 0.86187845 0.058 0.51655629 0.058 0.39970924 0.10773481 0.09392265 0.058 0.51342204
90 151.752 409.024 33.4711 409.024 151.752 0.81083683 0.051 1.07852374 0.69642857 0.17647059 0.192 0.85911602 0.051 0.52348993 0.074 0.4152018 0.02486188 0.13812155 0.051 0.51995798
91 152.995 409.024 33.4711 409.024 152.995 0.80856092 0.05 1.07771813 0.73214286 0.20915033 0.153 0.85635359 0.055 0.51351351 0.055 0.39767055 0.09944751 0.09944751 0.05 0.52299253
92 154.869 409.024 33.4711 409.024 154.869 0.80459267 0.066 1.06005618 0.625 0.14379085 0.133 0.85359116 0.066 0.51851852 0.066 0.41207336 0.06353591 0.1160221 0.045 0.48202614
93 152.729 409.024 33.4711 409.024 152.729 0.81314192 0.062 1.05741839 0.625 0.14705882 0.173 0.86187845 0.062 0.51470588 0.062 0.40673421 0.06629834 0.1160221 0.055 0.4842437
94 153.828 409.024 33.4711 409.024 153.828 0.80450514 0.054 1.07784927 0.71428571 0.19281046 0.19 0.86187845 0.054 0.51612903 0.054 0.39696149 0.11878453 0.08839779 0.054 0.52147526
95 155.217 409.024 33.4711 409.024 155.217 0.80012838 0.059 1.06347911 0.66071429 0.16666667 0.142 0.85635359 0.065 0.51470588 0.065 0.40673421 0.06629834 0.1160221 0.051 0.49708217
96 153.649 409.024 33.4711 409.024 153.649 0.80625584 0.062 1.06347911 0.66071429 0.16666667 0.147 0.86187845 0.067 0.51851852 0.067 0.41207336 0.06353591 0.1160221 0.062 0.49404762
97 153.75 409.024 33.4711 409.024 153.75 0.8057598 0.065 1.06269748 0.625 0.14052288 0.184 0.85635359 0.069 0.52307692 0.069 0.42112865 0.04972376 0.12154696 0.05 0.48552754
98 153.642 409.024 33.4711 409.024 153.642 0.803338002 0.049 1.060826141 0.714285714 0.215686275 0.135 0.856353591 0.061 0.5 0.081 0.402294189 0.002762431 0.154696133 0.049 0.49859944
99 153.044 409.024 33.4711 409.024 153.044 0.81235411 0.066 1.06285799 0.64285714 0.15359477 0.175 0.85911602 0.066 0.51798561 0.066 0.40875628 0.07458564 0.11049724 0.061 0.49077965
100 153.523 409.024 33.4711 409.024 153.523 0.80736461 0.057 1.06857575 0.69642857 0.18954248 0.185 0.85911602 0.057 0.50980392 0.057 0.39018912 0.11325967 0.09392265 0.057 0.50688609
